address;zip_code;price;sell_date;sell_type;price_per_sq_m;no_rooms;housing_type;size_in_sq_m;year_of_construction;price_change_in_pct;zip_code_num
Bygaden 32D;9000 Aalborg;2650000;18-09-2015;Alm. Salg;222680;40;Rækkehus;1190;19860;0;9000
Valdemarsgade 11, 1. MF;9000 Aalborg;745000;18-09-2015;Alm. Salg;201350;10;Lejlighed;370;19790;0;9000
Teglværks Alle 1, ST. TH;9000 Aalborg;1395000;17-09-2015;Alm. Salg;211360;20;Lejlighed;660;19300;0;9000
Louisegade 4, 2. TV;9000 Aalborg;1175000;17-09-2015;Alm. Salg;230390;20;Lejlighed;510;18970;0;9000
Hadsundvej 47;9000 Aalborg;1300000;17-09-2015;Andet;80240;50;Villa;1620;19080;0;9000
Hasserishøj 9;9000 Aalborg;12995000;17-09-2015;Alm. Salg;494100;40;Villa;2630;19620;0;9000
Strandvejen 3, 8. 2;9000 Aalborg;4295000;17-09-2015;Alm. Salg;308990;30;Lejlighed;1390;20160;0;9000
Strandvejen 3, 8. 4;9000 Aalborg;3215000;17-09-2015;Alm. Salg;318310;30;Lejlighed;1010;20160;0;9000
Strandvejen 3, 7. 3;9000 Aalborg;4195000;17-09-2015;Alm. Salg;303980;30;Lejlighed;1380;20160;0;9000
Strandvejen 3, 8. 3;9000 Aalborg;4295000;17-09-2015;Alm. Salg;311230;30;Lejlighed;1380;20160;0;9000
Oluf Borchs Vej 3;9000 Aalborg;2498000;16-09-2015;Alm. Salg;195150;60;Villa;1280;19340;0;9000
Strandvejen 3, 9. 2;9000 Aalborg;11290000;16-09-2015;Alm. Salg;435900;60;Lejlighed;2590;20160;0;9000
Morbærhaven 19;9000 Aalborg;960000;16-09-2015;Alm. Salg;52740;70;Villa;1820;20170;0;9000
Vejgård Bymidte 15;9000 Aalborg;948000;15-09-2015;Alm. Salg;231210;20;Rækkehus;410;19820;0;9000
Rosenlundsgade 3, ST. TV;9000 Aalborg;925000;14-09-2015;Alm. Salg;196800;20;Lejlighed;470;18980;0;9000
Årestrupsvej 10, 2. MF;9000 Aalborg;650000;14-09-2015;Alm. Salg;120370;20;Lejlighed;540;19670;0;9000
Herluf Trolles Gade 13, 3. TH;9000 Aalborg;1000000;14-09-2015;Alm. Salg;163930;20;Lejlighed;610;19380;0;9000
Herluf Trolles Gade 13, 3. TV;9000 Aalborg;1095000;14-09-2015;Alm. Salg;171090;20;Lejlighed;640;19380;0;9000
Morbærhaven 34;9000 Aalborg;960000;14-09-2015;Alm. Salg;44440;60;Villa;2160;20160;0;9000
Borgergade 24, 4. TV;9000 Aalborg;1185000;13-09-2015;Alm. Salg;179540;30;Lejlighed;660;18970;0;9000
Danmarksgade 96, 1. TH;9000 Aalborg;1275000;11-09-2015;Alm. Salg;159370;30;Lejlighed;800;18980;0;9000
Christiansgade 60, ST;9000 Aalborg;968000;11-09-2015;Alm. Salg;156120;20;Lejlighed;620;19020;0;9000
Thorsgade 37;9000 Aalborg;3698000;10-09-2015;Alm. Salg;217520;60;Villa;1700;19230;0;9000
Strandvejen 3, 3. 4;9000 Aalborg;2625000;10-09-2015;Alm. Salg;259900;30;Lejlighed;1010;20160;0;9000
Eckersbergsvej 4;9000 Aalborg;2500000;09-09-2015;Alm. Salg;204910;50;Rækkehus;1220;19520;0;9000
Østre Havnegade 50, ST. TV;9000 Aalborg;4700000;28-05-2015;Alm. Salg;276470;40;Lejlighed;1700;20150;0;9000
Kvædevej 33;9000 Aalborg;2030000;27-05-2015;Alm. Salg;153780;40;Villa;1320;19730;0;9000
Falstersgade 21, 2. TH;9000 Aalborg;1265000;27-05-2015;Alm. Salg;178160;20;Lejlighed;710;19200;0;9000
Perikumvej 9, 1. TV;9000 Aalborg;1195000;27-05-2015;Alm. Salg;170710;20;Lejlighed;700;19680;0;9000
Korsgade 25, ST. TV;9000 Aalborg;925000;27-05-2015;Alm. Salg;154160;20;Lejlighed;600;19110;0;9000
Vestre Alle 1, 3. TH;9000 Aalborg;1545000;26-05-2015;Alm. Salg;159270;40;Lejlighed;970;19520;0;9000
Årestrupsvej 16, ST. TV;9000 Aalborg;725000;26-05-2015;Alm. Salg;76310;40;Lejlighed;950;19670;0;9000
Reberbansgade 47B, 3. TV;9000 Aalborg;1050000;26-05-2015;Alm. Salg;238630;20;Lejlighed;440;19080;0;9000
Nørholmsvej 34;9000 Aalborg;4411000;26-05-2015;Auktion;220550;70;Villa;2000;20080;0;9000
Carit Etlars Gade 10, 1. TH;9000 Aalborg;399000;26-05-2015;Alm. Salg;102300;10;Lejlighed;390;19350;0;9000
Glentevej 29;9000 Aalborg;1595000;26-05-2015;Alm. Salg;166140;40;Rækkehus;960;19620;0;9000
Schleppegrellsgade 67, 2. TH;9000 Aalborg;1250000;26-05-2015;Alm. Salg;127550;30;Lejlighed;980;19330;0;9000
Kærlundsvej 24, ST;9000 Aalborg;2400000;25-05-2015;Alm. Salg;181810;30;Lejlighed;1320;19300;0;9000
Rosenlundsgade 10, 2. TH;9000 Aalborg;1295000;24-05-2015;Alm. Salg;202340;30;Lejlighed;640;19000;0;9000
Sjællandsgade 85, 1. TH;9000 Aalborg;1595000;22-05-2015;Alm. Salg;209860;30;Lejlighed;760;19260;0;9000
Corfitzvej 7;9000 Aalborg;2850000;22-05-2015;Alm. Salg;222650;40;Villa;1280;19650;0;9000
Hvepsevej 17;9000 Aalborg;400000;22-05-2015;Fam. Salg;51940;20;Sommerhus;770;19690;0;9000
Vejgård Bymidte 63;9000 Aalborg;1730000;22-05-2015;Alm. Salg;184040;30;Rækkehus;940;19830;0;9000
Vesterbro 49, 4. TH;9000 Aalborg;980000;21-05-2015;Fam. Salg;95140;30;Lejlighed;1030;19340;0;9000
Revlingbakken 105, ST. TH;9000 Aalborg;605000;21-05-2015;Alm. Salg;112030;20;Lejlighed;540;19720;0;9000
Christiansgade 48, ST. TV;9000 Aalborg;1245000;21-05-2015;Alm. Salg;239420;20;Lejlighed;520;18980;0;9000
Kong Hans Gade 11, 2. TV;9000 Aalborg;1395000;20-05-2015;Alm. Salg;176580;30;Lejlighed;790;19840;0;9000
Alfavej 22;9000 Aalborg;2955000;20-05-2015;Alm. Salg;242210;40;Villa;1220;19860;0;9000
Brohusgade 9, 4. TH;9000 Aalborg;2312500;18-05-2015;Alm. Salg;243420;30;Lejlighed;950;19960;0;9000
Himmerlandsgade 3, 1. TH;9000 Aalborg;715000;18-05-2015;Alm. Salg;110000;20;Lejlighed;650;19360;0;9000
Nytorv 3, 2. 5;9000 Aalborg;2500000;18-05-2015;Alm. Salg;171230;30;Lejlighed;1460;19000;0;9000
Østre Havnegade 44, 5. TH;9000 Aalborg;2800000;18-05-2015;Alm. Salg;264150;30;Lejlighed;1060;20150;0;9000
Alfred Munkholms Vej 24;9000 Aalborg;4995000;15-05-2015;Alm. Salg;268540;50;Villa;1860;20070;0;9000
Lundsgårdsgade 7;9000 Aalborg;2095000;12-05-2015;Alm. Salg;167600;40;Villa;1250;19490;0;9000
Østre Havnegade 52, 4. MF;9000 Aalborg;4400000;12-05-2015;Alm. Salg;289470;30;Lejlighed;1520;20150;0;9000
Herluf Trolles Gade 7, 4. TV;9000 Aalborg;990000;11-05-2015;Alm. Salg;165000;20;Lejlighed;600;19390;0;9000
Malurtvej 23, 2. TV;9000 Aalborg;1450000;11-05-2015;Alm. Salg;164770;40;Lejlighed;880;19710;0;9000
Købkesvej 68;9000 Aalborg;1845000;11-05-2015;Alm. Salg;174050;30;Rækkehus;1060;19620;0;9000
Spinderensvej 9;9000 Aalborg;3595000;09-05-2015;Alm. Salg;210230;50;Villa;1710;19330;0;9000
Brohusgade 9, 2. TV;9000 Aalborg;2495000;08-05-2015;Alm. Salg;242230;30;Lejlighed;1030;19960;0;9000
Lundbyesgade 4;9000 Aalborg;1280000;08-05-2015;Alm. Salg;109400;50;Villa;1170;19080;0;9000
Årestrupsvej 10, 1. TV;9000 Aalborg;1098000;07-05-2015;Alm. Salg;127670;30;Lejlighed;860;19670;0;9000
Revlingbakken 95, 1. TH;9000 Aalborg;685000;07-05-2015;Alm. Salg;137000;20;Lejlighed;500;19720;0;9000
Vibevej 15;9000 Aalborg;863000;07-05-2015;Alm. Salg;48750;50;Villa;1770;19500;0;9000
Betavej 14;9000 Aalborg;1600000;07-05-2015;Fam. Salg;93560;60;Villa;1710;19900;0;9000
Østre Havnegade 42, 3. TH;9000 Aalborg;6510000;07-05-2015;Alm. Salg;300000;40;Lejlighed;2170;20150;0;9000
Østre Havnegade 52, ST. MF;9000 Aalborg;3900000;07-05-2015;Alm. Salg;256570;30;Lejlighed;1520;20150;0;9000
Revlingbakken 17, ST. TV;9000 Aalborg;595000;06-05-2015;Alm. Salg;87500;20;Lejlighed;680;19690;0;9000
Lillisvej 20;9000 Aalborg;4300000;05-05-2015;Alm. Salg;225130;50;Villa;1910;19580;0;9000
Kastetvej 15B, 2. 2;9000 Aalborg;935000;05-05-2015;Alm. Salg;190810;20;Lejlighed;490;19590;0;9000
Brettevillesgade 11, 1. TH;9000 Aalborg;1050000;05-05-2015;Alm. Salg;175000;30;Lejlighed;600;18780;0;9000
Golfhaven 3, ST. TV;9000 Aalborg;18000000;05-05-2015;Alm. Salg;1894730;30;Lejlighed;950;20160;0;9000
Østre Havnegade 42, 4. TH;9000 Aalborg;6725000;05-05-2015;Alm. Salg;309900;40;Lejlighed;2170;20150;0;9000
Klokkestøbergade 13;9000 Aalborg;2995000;04-05-2015;Alm. Salg;249580;20;Villa;1200;19740;0;9000
Danmarksgade 69A, 2. TV;9000 Aalborg;990000;04-05-2015;Fam. Salg;167790;20;Lejlighed;590;19120;0;9000
Samsøgade 27, 2. TH;9000 Aalborg;1055000;04-05-2015;Alm. Salg;152890;20;Lejlighed;690;19510;0;9000
Estlandsgade 9, 4. TV;9000 Aalborg;870000;01-05-2015;Alm. Salg;185100;20;Lejlighed;470;20050;0;9000
Gammel Strandvej 7, 2. TH;9000 Aalborg;1390000;01-05-2015;Alm. Salg;173750;30;Lejlighed;800;19390;0;9000
Østre Havnegade 52, 8. MF;9000 Aalborg;4900000;01-05-2015;Alm. Salg;322360;30;Lejlighed;1520;20150;0;9000
Heimdalsgade 18;9000 Aalborg;2098000;30-04-2015;Alm. Salg;199800;30;Villa;1050;19080;0;9000
Helgolandsgade 17, 2. TH;9000 Aalborg;1150000;30-04-2015;Alm. Salg;188520;30;Lejlighed;610;18980;0;9000
Omegavej 9;9000 Aalborg;1200000;30-04-2015;Alm. Salg;196720;20;Rækkehus;610;19920;0;9000
Østre Havnegade 46, 3. TH;9000 Aalborg;2650000;30-04-2015;Alm. Salg;257280;30;Lejlighed;1030;20150;0;9000
Østre Havnegade 44, ST. TV;9000 Aalborg;2800000;30-04-2015;Alm. Salg;205880;40;Lejlighed;1360;20150;0;9000
Bispensgade 32A, 1;9000 Aalborg;1545000;29-04-2015;Alm. Salg;175560;30;Lejlighed;880;19000;0;9000
Oberst Myhres Vej 11;9000 Aalborg;840135;28-04-2015;Fam. Salg;75010;50;Villa;1120;19620;0;9000
Østerbro 24, 3. TV;9000 Aalborg;1898000;27-04-2015;Alm. Salg;186070;40;Lejlighed;1020;19280;0;9000
Tyge Brahes Vej 37;9000 Aalborg;2745000;27-04-2015;Alm. Salg;209540;60;Rækkehus;1310;19190;0;9000
Østre Havnegade 42, 5. TV;9000 Aalborg;5800000;27-04-2015;Alm. Salg;313510;40;Lejlighed;1850;20150;0;9000
Omegavej 53;9000 Aalborg;1225000;24-04-2015;Alm. Salg;200810;20;Rækkehus;610;19920;0;9000
Vendelbogade 17, 4. TH;9000 Aalborg;2460000;23-04-2015;Alm. Salg;195230;40;Lejlighed;1260;19370;0;9000
Ny Kastetvej 2, 1. TV;9000 Aalborg;1089000;23-04-2015;Alm. Salg;181500;20;Lejlighed;600;19380;0;9000
Østre Havnegade 46, 2. TH;9000 Aalborg;2550000;23-04-2015;Alm. Salg;247570;30;Lejlighed;1030;20150;0;9000
Søndervangsvej 47;9000 Aalborg;1370000;22-04-2015;Alm. Salg;118100;50;Rækkehus;1160;19660;0;9000
K.E. Færgemanns Vej 15;9000 Aalborg;1195500;22-04-2015;Fam. Salg;64620;50;Villa;1850;20120;0;9000
Sverigesgade 11, 1. TH;9000 Aalborg;1462500;21-04-2015;Alm. Salg;197630;20;Lejlighed;740;19180;0;9000
Filippavej 33;9000 Aalborg;2395000;21-04-2015;Alm. Salg;196310;40;Rækkehus;1220;19820;0;9000
Bispensgade 32A, ST;9000 Aalborg;1545000;20-04-2015;Alm. Salg;175560;30;Lejlighed;880;19000;0;9000
Petersborgvej 93;9000 Aalborg;1695000;20-04-2015;Alm. Salg;147390;40;Rækkehus;1150;19570;0;9000
Vesterbro 35, 3. 301;9000 Aalborg;545393;20-04-2015;Fam. Salg;67330;20;Lejlighed;810;19590;0;9000
Ny Kærvej 31;9000 Aalborg;1026769;20-04-2015;Alm. Salg;67550;30;Villa;1520;19590;0;9000
Østre Havnegade 44, 1. TV;9000 Aalborg;3000000;20-04-2015;Alm. Salg;220580;40;Lejlighed;1360;20150;0;9000
Østre Havnegade 42, 4. TV;9000 Aalborg;5650000;20-04-2015;Alm. Salg;305400;40;Lejlighed;1850;20150;0;9000
Borgmestervænget 12, 4. TV;9000 Aalborg;1250000;19-04-2015;Alm. Salg;208330;20;Lejlighed;600;19390;0;9000
Istedgade 33, 1. TV;9000 Aalborg;925000;17-04-2015;Alm. Salg;185000;20;Lejlighed;500;19070;0;9000
Sofievej 196, 2;9000 Aalborg;1145000;17-04-2015;Alm. Salg;148700;20;Lejlighed;770;19630;0;9000
Golfhaven 4, ST. TH;9000 Aalborg;1799000;17-04-2015;Alm. Salg;189360;30;Lejlighed;950;20130;0;9000
Østre Havnegade 44, 2. TV;9000 Aalborg;3150000;17-04-2015;Alm. Salg;231610;40;Lejlighed;1360;20150;0;9000
Kastetvej 15B, 2. 4;9000 Aalborg;870000;16-04-2015;Alm. Salg;174000;20;Lejlighed;500;19590;0;9000
Sofievej 28A, 1;9000 Aalborg;650000;16-04-2015;Alm. Salg;118180;10;Lejlighed;550;19690;0;9000
Mariehønevej 20;9000 Aalborg;1050000;16-04-2015;Alm. Salg;90510;30;Sommerhus;1160;19520;0;9000
Alfavej 32;9000 Aalborg;3225000;16-04-2015;Alm. Salg;195450;50;Villa;1650;19880;0;9000
Poul Paghs Gade 6C, 2. TH;9000 Aalborg;1300000;16-04-2015;Alm. Salg;194020;20;Lejlighed;670;19020;0;9000
Thorsgade 40;9000 Aalborg;1307276;16-04-2015;Fam. Salg;96120;40;Villa;1360;19310;0;9000
Budolfi Plads 3, 2. TV;9000 Aalborg;1587500;15-04-2015;Alm. Salg;145640;30;Lejlighed;1090;19350;0;9000
Nybrogade 2, 2. TH;9000 Aalborg;1615000;15-04-2015;Alm. Salg;230710;20;Lejlighed;700;19960;0;9000
Vesterbro 39, 1. TV;9000 Aalborg;1250000;15-04-2015;Alm. Salg;145340;30;Lejlighed;860;19110;0;9000
Platanvej 21;9000 Aalborg;796715;15-04-2015;Andet;82130;30;Villa;970;19610;0;9000
Østre Havnegade 44, 4. TV;9000 Aalborg;3450000;15-04-2015;Alm. Salg;253670;40;Lejlighed;1360;20150;0;9000
Algade 58, 3. TV;9000 Aalborg;2200000;14-04-2015;Alm. Salg;167930;30;Lejlighed;1310;19300;0;9000
Peder Skrams Gade 15, 2. TV;9000 Aalborg;1700000;14-04-2015;Alm. Salg;204810;30;Lejlighed;830;19360;0;9000
Østre Havnegade 42, 6. TV;9000 Aalborg;5950000;14-04-2015;Alm. Salg;321620;40;Lejlighed;1850;20150;0;9000
Malurtvej 23, 1. TV;9000 Aalborg;1250000;13-04-2015;Alm. Salg;142040;40;Lejlighed;880;19710;0;9000
Vesterbro 125, 2. 203;9000 Aalborg;995000;13-04-2015;Alm. Salg;180900;20;Lejlighed;550;19540;0;9000
Danmarksgade 5E, 2. TV;9000 Aalborg;1895000;12-01-2015;Alm. Salg;159240;40;Lejlighed;1190;18900;0;9000
Budolfi Plads 7, 1. TV;9000 Aalborg;1175000;08-01-2015;Alm. Salg;167850;20;Lejlighed;700;19380;0;9000
Hasserishave 41, 1. 3;9000 Aalborg;1295000;07-01-2015;Alm. Salg;190440;20;Lejlighed;680;19810;0;9000
Kærvangs Alle 34;9000 Aalborg;1495000;06-01-2015;Alm. Salg;152550;40;Villa;980;19580;0;9000
Blegdalsparken 45, 2. TH;9000 Aalborg;1534250;05-01-2015;Fam. Salg;112810;40;Lejlighed;1360;19720;0;9000
Åvangen 15;9000 Aalborg;950000;02-01-2015;Fam. Salg;84820;50;Villa;1120;19630;0;9000
Ritavej 8;9000 Aalborg;925000;01-01-2015;Alm. Salg;84090;30;Villa;1100;19520;0;9000
Bellahøj 7;9000 Aalborg;3220000;05-10-2015;Alm. Salg;231650;40;Villa;1390;19770;10;9000
Østre Alle 32, 2. TH;9000 Aalborg;1515000;19-06-2015;Alm. Salg;199340;30;Lejlighed;760;19200;10;9000
Borgmestervænget 12, 1. TH;9000 Aalborg;1215000;10-06-2015;Alm. Salg;205930;20;Lejlighed;590;19390;10;9000
Jens Stoffersens Vej 10;9000 Aalborg;3695000;18-05-2015;Alm. Salg;198650;50;Villa;1860;19720;10;9000
Carit Etlars Gade 10, ST. TV;9000 Aalborg;1665000;20-03-2015;Alm. Salg;205550;20;Lejlighed;810;19350;10;9000
Hadsundvej 21, 2;9000 Aalborg;1225000;22-10-2015;Alm. Salg;144110;30;Lejlighed;850;19000;20;9000
Færøgade 59, 4. TH;9000 Aalborg;1220001;11-09-2015;Alm. Salg;182080;20;Lejlighed;670;19440;20;9000
Vesterå 22, 3;9000 Aalborg;1225000;11-08-2015;Alm. Salg;139200;40;Lejlighed;880;18970;20;9000
Østergravensgade 12, 1. TH;9000 Aalborg;1225000;28-07-2015;Alm. Salg;177530;20;Lejlighed;690;18890;20;9000
Poul Paghs Gade 6B, 1. TH;9000 Aalborg;1216000;17-06-2015;Alm. Salg;181490;20;Lejlighed;670;19020;20;9000
Herluf Trolles Gade 15, ST. TV;9000 Aalborg;1200000;24-04-2015;Alm. Salg;190470;20;Lejlighed;630;19370;20;9000
Nybrogade 4, 1. MF;9000 Aalborg;1486000;15-04-2015;Alm. Salg;206380;20;Lejlighed;720;19960;20;9000
Malurtvej 29, 1. TV;9000 Aalborg;1245000;12-04-2015;Alm. Salg;168240;30;Lejlighed;740;19710;20;9000
Vesterbro 19B, 2. TH;9000 Aalborg;1330000;20-03-2015;Alm. Salg;187320;20;Lejlighed;710;19380;20;9000
Mispelvej 26;9000 Aalborg;2130000;16-01-2015;Alm. Salg;136530;60;Villa;1560;19720;20;9000
Købkesvej 30;9000 Aalborg;1550000;13-10-2015;Alm. Salg;155000;40;Rækkehus;1000;19560;30;9000
Vesterbro 127, 7. 707;9000 Aalborg;1125000;24-09-2015;Alm. Salg;200890;20;Lejlighed;560;19540;30;9000
Sønder Alle 26;9000 Aalborg;2150000;15-09-2015;Alm. Salg;200930;40;Villa;1070;19590;30;9000
Vonsyldsgade 37;9000 Aalborg;2260000;11-08-2015;Alm. Salg;219410;30;Villa;1030;19590;30;9000
Snerlevej 1, 2. TH;9000 Aalborg;1400000;15-07-2015;Alm. Salg;159090;40;Lejlighed;880;19580;30;9000
Dybbølgade 7, ST. TV;9000 Aalborg;1110000;18-05-2015;Alm. Salg;185000;20;Lejlighed;600;19380;30;9000
Sohngårdsholmsvej 17;9000 Aalborg;1560000;15-04-2015;Alm. Salg;114700;40;Villa;1360;19350;40;9000
Kastetvej 97, 2;9000 Aalborg;1445000;01-04-2015;Alm. Salg;212500;20;Lejlighed;680;19200;40;9000
Hadsundvej 132, ST. TH;9000 Aalborg;1568000;31-08-2015;Alm. Salg;135170;40;Rækkehus;1160;19100;50;9000
Klokkestøbergade 12;9000 Aalborg;2185000;13-03-2015;Alm. Salg;303470;20;Rækkehus;720;18200;50;9000
Knudsgade 7, 2. TV;9000 Aalborg;1480000;11-11-2015;Alm. Salg;208450;30;Lejlighed;710;19790;60;9000
Fyrrebakken 12, 1;9000 Aalborg;2850000;14-09-2015;Alm. Salg;208020;60;Lejlighed;1370;19590;60;9000
Islandsgade 10, 3. TV;9000 Aalborg;1420000;09-02-2015;Alm. Salg;169040;30;Lejlighed;840;19530;60;9000
Ryesgade 49, 2. TH;9000 Aalborg;950000;28-01-2015;Alm. Salg;175920;20;Lejlighed;540;19280;60;9000
